JST時刻,raw_pulse_rpm,display_rpm,速度_kmh,緯度,経度,UTC時刻
2026-05-29 13:42:12.602,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:12.682,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:12.783,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:12.887,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:12.992,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.077,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.178,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.287,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.392,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.474,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.578,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.686,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.787,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.881,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:13.983,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.093,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.181,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.285,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.386,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.492,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.573,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.678,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.78,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:14.887,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.038,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.084,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.185,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.288,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.376,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.484,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.585,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.672,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.773,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.885,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:15.988,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.085,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.193,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.279,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.38,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.475,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.577,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.688,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.784,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.886,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:16.987,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.072,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.173,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.274,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.375,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.494,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.572,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.673,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.774,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.882,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:17.984,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.087,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.189,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.273,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.374,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.484,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.587,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.683,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.784,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:18.886,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.007,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.091,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.195,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.275,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.373,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.479,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.585,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.69,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.771,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:19.879,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.096,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.128,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.174,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.281,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.383,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.48,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.59,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.69,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.794,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.895,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:20.998,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.095,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.174,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.301,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.372,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.476,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.578,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.679,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.783,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.896,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:21.972,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.073,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.187,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.274,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.388,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.489,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.592,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.678,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.779,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.88,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:22.982,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.088,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.173,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.274,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.374,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.478,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.58,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.689,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.774,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.884,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:23.987,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.088,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.173,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.277,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.378,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.489,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.593,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.676,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.778,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:24.871,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.054,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.095,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.171,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.285,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.39,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.495,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.591,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.693,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.778,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.881,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:25.98,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.082,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.186,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.291,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.373,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.474,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.578,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.675,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.778,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.904,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:26.981,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.089,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.175,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.276,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.38,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.486,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.589,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.677,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.776,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.878,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:27.979,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.105,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.172,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.279,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.395,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.496,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.576,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.68,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.781,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.884,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:28.99,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.105,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.18,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.279,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.38,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.484,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.585,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.674,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.775,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:29.879,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.059,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.074,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.177,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.277,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.371,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.472,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.574,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.677,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.774,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.877,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.976,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.079,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.182,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.283,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.384,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.491,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.58,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.681,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.784,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.885,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.986,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.09,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.184,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.277,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.381,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.483,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.576,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.68,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.782,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.894,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.989,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.093,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.194,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.273,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.374,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.487,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.58,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.683,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.784,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.889,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.994,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.073,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.186,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.29,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.394,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.487,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.59,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.694,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.773,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.883,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.059,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.098,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.175,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.278,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.382,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.496,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.572,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.674,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.775,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.875,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.979,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.085,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.194,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.276,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.378,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.482,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.585,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.68,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.79,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.892,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.983,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.088,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.186,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.29,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.377,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.481,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.582,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.684,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.786,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.915,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:37.977,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.082,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.184,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.288,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.389,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.476,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.58,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.683,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.793,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.894,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:38.995,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.074,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.185,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.317,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.373,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.478,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.578,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.672,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.774,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:39.884,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.048,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.073,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.174,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.276,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.379,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.483,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.584,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.691,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.781,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.883,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:40.988,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.077,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.193,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.294,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.383,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.491,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.594,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.675,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.774,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.888,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:41.992,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.081,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.177,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.282,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.383,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.48,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.581,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.683,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.784,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.883,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:42.984,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.088,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.189,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.291,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.384,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.491,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.583,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.686,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.787,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.892,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:43.976,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.078,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.179,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.294,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.386,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.49,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.591,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.684,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:44.772,0,0,0.0,0.000000,0.000000,00:00:00
